"","475550850_475","475550850_550","475550850_850","550660850_550","550660850_660","550660850_850","725","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-043",5183,6622,8050,6361,3613,8811,28091,0.182410152332245,0.280412982532114,0.000429265297617005,0.334991478449965,-9.05376904003832
"W1-044",2671,4343,8036,4283,1985,8838,24759,0.266823266778927,0.55730236071364,0.0802703138329367,0.528692760664778,34.6331574925145
"W1-045",4346.5,6098,7994,6118.5,3206,9019.5,27882.5,0.228361161567125,0.37468574557429,0.0242742855188927,0.410425160250889,4.82353561144836
"W1-046",2838,4748.5,8787.5,4588.5,2176,9755,26733,0.2690682050415,0.570676020270549,0.0859446202628519,0.540288406640388,41.4861442249778
"W1-047",3602,5842.5,9537,5742.5,2628.5,10602.5,30537,0.290172028738988,0.529020132734283,0.0645457126187753,0.52025669321556,31.645161884639
"W1-048",1884,4069.5,9437,4038,1529.5,10470,26310.5,0.332876816368103,0.70199824663173,0.122105736572721,0.634344790347839,67.5579493803743
"W1-049",5289.5,6845,9418,6592.5,3580,10338,29111.5,0.206650767115818,0.398916422347582,0.075668634279436,0.391312488345635,43.3518276322213
"W1-050",2477,4644,9959,4601.5,1906,10792,27449.5,0.306827667198206,0.650760136365111,0.131050765364037,0.581525242534099,77.9956722544386
"W1-051",2819.5,4915.5,9503.5,4845,2217,10603.5,30225.5,0.267108020390043,0.587658453938155,0.0337093651315008,0.584432565496137,3.43672994447274
"W1-052",1728,3605.5,8600,3667.5,1496,9586,26827.5,0.325933648727572,0.682273153864369,0.0352667346748686,0.666974181119491,3.01318363759942
"W1-053",3176,5750,9122,5633,2432,10133,33536,0.310069618663699,0.544406615653487,-0.0417271055331998,0.594926607678788,-52.9239232105535
"W1-054",6280,8575,9414,8216,4585.5,10601,41340,0.183189948800022,0.290122107652072,-0.115164889302893,0.420092386279347,-123.025921067828
"W1-055",4899,7244,8856,6767,3615,9602,35032,0.189266070016375,0.319734438455848,-0.0884087455167805,0.44229071380207,-88.4195727775842
"W1-056",5007,7100,8646,6727,3667,9536,35042,0.190882513956084,0.318839045693146,-0.0988447132965112,0.434084193633556,-88.561685495329
"W1-057",1853,4015,8700,3965,1547,9492,26864,0.31936397361009,0.669506229482159,0.0389986323783627,0.650926793606608,6.47881250340768
"W1-058",3085.5,5345,8539.5,5059.5,2321.5,9181.5,32015.5,0.260515317769121,0.494312033513876,-0.0665794303757928,0.578063124354534,-65.5555619775902
"W1-059",2770,4702,8556,4527,2125,9297,27766,0.272345473577612,0.551150985639218,0.0104416160413094,0.579291900153195,-11.444292918908
"W1-060",1938.5,3856,8750,3916,1676.5,9722.5,27143.5,0.307542069093204,0.640610193413886,0.0312745510520586,0.643779253290066,1.13946529511309
"W1-061",4768,6466,9181,6315,3421,10247,34323,0.205930523923553,0.41574255872258,-0.0441203589374156,0.485087276049147,-53.8176808899043
"W1-062",5471.5,7445,9074,7342.5,4158.5,10322.5,36433,0.187400391420521,0.327137592051318,-0.0763774429737383,0.438757566991943,-78.7515179033567
"W1-063",2735,4824,9323,4895,2213,10413,31396,0.277056577775011,0.587332143704759,0.0108182972777893,0.609528756187612,-13.2217548047704
"W1-064",3492,5199,8644,5169,2519,9563,30245,0.258837764026688,0.500297739125996,-0.0214863569250197,0.563268556555857,-33.2474977955382
"W1-065",1990,3847.5,8707.5,3829.5,1566,9502,27738.5,0.320778746333622,0.662280301188364,0.0162975848750194,0.672000319003407,-9.97013123872874
"W1-066",2512,4242,8732,4198,1890,9660,27359,0.281721208386592,0.61354237916228,0.032633726740302,0.614217060269165,2.4895123569757
"W1-067",3022.5,4860,8766.5,4854.5,2348.5,9753.5,29515.5,0.262450812748768,0.543873796885403,0.0209291074533926,0.572774936546721,-4.67676282144925
"W1-068",5719,7701,8855,7391,4004,9879,35748,0.197084296194179,0.316628588150165,-0.0824184501619411,0.41378551862754,-79.3778896663902
"W1-069",3960,5645.5,8624.5,5527,2797,9617,30935.5,0.239297723348644,0.477087200029456,-0.0464309891962405,0.537068651470838,-51.9998337422006
"W1-070",2267,4258,8621,4206.5,1775,9449.5,27996.5,0.30522701323958,0.629382539296045,0.0199248832573131,0.645382550812195,-6.46722491764066
"W1-071",2474.5,4582.5,8548,4533.5,1993,9566,28526.5,0.299055698452327,0.595158178691757,0.0090186978405811,0.614981140459372,-13.2905225841334
"W1-072",3704,5634,8418,5499,2634,9431,33430,0.263484023123882,0.48043167298468,-0.0789656919736137,0.578624283234015,-76.6048159507036
"W1-073",5472.5,7727,8644.5,7431,4190.5,9488,47556.5,0.172381950211387,0.271019842013665,-0.182611550811582,0.46066976316896,-218.387155199336
"W1-074",4418,5676,8588,5602,3020,9452,30070,0.19583659116305,0.414862594413591,-0.0457441406878901,0.485760607313641,-46.0120995138876
"W1-075",5982,7731,8826,7346,3860,9653,38021,0.208595968134457,0.313229372275511,-0.115647180396497,0.456900870393952,-112.609095084235
"W1-076",3744,5429,8418,5318,2632,9335,29277,0.24238201379327,0.473066063756648,-0.0171467814201713,0.525838621333164,-27.9269435357697
"W1-077",4764,6338,8119,6190,3603,9134,30628,0.161372784256886,0.352051911079883,-0.0378109244509024,0.419089499325576,-44.0326703724232
"W1-078",4676,6485,8786.5,6315.5,3448,9800.5,32892.5,0.19796490347265,0.392700362424784,-0.0551657085606131,0.460606869982098,-62.3987304469683
"W1-079",4228,6161.5,9490,5972.5,3072.5,10488,32888,0.227057679654239,0.461135366227637,-0.00169490580169993,0.506542410992462,-18.3595662623539
"W1-080",2954,4579,8411,4470,2286,9360,26577,0.229642846275708,0.538918312778778,0.0427738158955569,0.535079554360456,11.5998616937223
"W1-081",3686,5269,8421,5123,2601,9144,28515,0.222365676958011,0.437060905498083,-0.00964942064917665,0.504761205368487,-23.1374785053062
"W1-082",3602,5207,8338,4963,2513.5,9060,28696,0.226511286479629,0.472915643299304,0.00381225255158013,0.535288038185831,-14.5921406411691
"W1-083",4410.5,6147.5,8599.5,5936,3262.5,9359.5,31012.5,0.197439559576178,0.384370846724877,-0.040659825979841,0.464584509647659,-46.4623004348274
"W1-084",5408,7765.5,9392.5,7514.5,4146.5,10506,37167,0.199786062337377,0.341231877346247,-0.064399578072354,0.434754278995161,-70.6246502690643
"W1-085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-086",4161,6466,8718,6221,2946,9536,32357,0.253963381508699,0.432318184782346,-0.0470060951498225,0.511193250295541,-51.2505081983007
"W1-087",3454,5458,8860,5237,2529,9779,30241,0.25574661186097,0.506939583827391,0.0158897713420368,0.558023119451468,-7.39194482739809
"W1-088",2960.5,5030.5,8869,4954.5,2209,9926,29181,0.279741730572457,0.562993944462239,0.035136458853105,0.566410093181435,7.31752379926675
"W1-089",2768,4517,8564,4511,2095,9563,27707,0.263393514451026,0.567402478640106,0.0431816840602631,0.570711847433539,11.0876999250723
"W1-090",2742,5593,9264,5405,2242,10275,31697,0.318078729747813,0.582214009805416,0.00836564297194735,0.595419240096985,-13.3292452578645
"W1-091",6212,7718.5,7966,7433.5,4203,8886.5,32113.5,0.184392815877349,0.237247944475035,-0.0656611771687718,0.346280733980369,-58.237802503129
"W1-092",2030,3775,8565,3665,1501,9401,24964,0.316645668146843,0.676883267537296,0.0901101054220876,0.639885779791642,40.4878635341198
"W1-093",2819.5,4827,8850,4767.5,2256.5,9894,28577.5,0.268076876362624,0.563126106124646,0.0513346448353237,0.556208197143321,18.1603593758186
"W1-094",5073,6788,8707,6620,3513,9706,30884,0.224779600683756,0.355798453109057,0.00745315282595228,0.413359105144395,-10.3660417413117
"W1-095",3461,5336,8426,5324,2683,9508,26984,0.235340350956332,0.48583618071636,0.057004980532251,0.465907808017066,24.7999661878735
"W1-096",3310.5,5740.5,9627.5,5638,2661.5,10702,31029,0.267953400034023,0.527317938735983,0.0437687504922795,0.52159990097911,15.2991961232906
"W1-097",4278,6286,9332,6007,3192,10395,30240,0.214184297584292,0.45309887423193,0.050172246493007,0.442906696547737,23.0322304788386
"W1-098",3850,5608,9974,5576,2987,11262,28415,0.201996617654597,0.50829029817457,0.111907825393533,0.474270991615575,68.3562302877759
"W1-099",1953.5,4002,10130,4040.5,1594.5,11171.5,27495.5,0.335853651091559,0.70243659092142,0.133937304375465,0.64394338695789,81.3547569966786
"W1-100",3789,6079,10998,5645,2883,12027,32133,0.226985107372946,0.543664140217906,0.0904508372280989,0.499860494595399,54.6412913816161
"W1-101",2635,4023,6427,3985,1823,7070,23954,0.255863491856155,0.507085356200052,-0.0391931677552789,0.555435739541035,-34.7581983928866
"W1-102",2923.5,4127.5,6958,4118,2049.5,7718,24705.5,0.230238760537306,0.49940572952886,-0.0131951999778216,0.558001262718115,-21.163784430661
"W1-103",2427,3990,6649,3980,1769,7263,24140,0.27420216938226,0.542958810550571,-0.0328876504620958,0.576473314525605,-31.0593222970733
"W1-104",2701,3867,6533,3855,1885,7174,23122,0.249046790816086,0.497254137966419,-0.0165698960273356,0.551607993878357,-22.1140726663399
"W1-105",1854,3141,7131,3181,1441,7856,22460,0.278276746490599,0.627929966492539,0.0206862802572461,0.640562474111544,-5.05122011171153
"W1-106",2133,3234,6741,3255,1567,7394,22181,0.24792117199375,0.591885861891724,0.00849843294690211,0.600063206340178,-10.406807791521
"W1-107",2346,3653,6267,3671,1719,7063,21671,0.263124098371921,0.544690506766334,-0.0139851315106451,0.563810335747927,-19.9926835802307
"W1-108",2511.5,3798.5,6630.5,3937.5,1919,7507,22880.5,0.246098870398341,0.506623556709579,-0.0044353626541688,0.541433502161506,-16.2700023216794
"W1-109",2881,4428,6844,4446,2173,7842,25897,0.25747468268481,0.479540670500156,-0.0538944886958146,0.530790039672272,-45.2806924681156
"W1-110",2813,4100,6747,4157,2050,7616,24803,0.245650331738875,0.494142460739565,-0.0406215380702969,0.553271393058011,-38.4215172470791
"W1-111",2625,3868,6725,3893.5,1961.5,7484.5,24214.5,0.233444645388631,0.50552975284573,-0.035051867800157,0.576212210523791,-32.9409461841969
"W1-112",3031,4236,6337,4378,2244,7175,25042,0.23080209775359,0.425468539058067,-0.0753878667473796,0.522147385410602,-54.6221303577777
"W1-113",2821,4320,7315,4331,1990,8027,28192,0.276008679741254,0.525425275632752,-0.0925553610992897,0.615365275015868,-67.1832498368978
"W1-114",3764,5199,7347,5065,2598,8063,29694,0.238482001453092,0.406706395806432,-0.102975298634029,0.531467526257648,-79.9562204250454
"W1-115",5908.5,7566,7164,6746.5,3594.5,7519,51387.5,0.174594537693855,0.186071046452487,-0.293228755096296,0.51824487083988,-302.077638810485
"W1-116",2109.5,3781.5,7199,3718,1607,7955,25082,0.305505477718479,0.600698265645371,-0.0229877053339035,0.633108531195616,-28.3783780108531
"W1-117",5213,6495.5,7076,6187,3543,7907,40795.5,0.18046814858446,0.266844570736212,-0.255158334760214,0.518302640660941,-234.566575558461
"W1-118",2772,3737,6973,3620,1798,7683.5,23438.5,0.236162394718421,0.536022833808202,-0.00576124382218511,0.584978169203689,-18.8601720978236
"W1-119",3751,4971,6616.5,4873,2572,7356,26809,0.20722075962705,0.371892315764369,-0.112245209213311,0.485855759654332,-79.004179271432
"W1-120",3757,4775,6503,4658,2534,7108.5,24344,0.200514904606504,0.366873976922055,-0.060162081133531,0.464288797270059,-43.980085965252
"W1-121",1814,3308,6319,3320.5,1381,6831,21591,0.291717527407003,0.61341161420768,-0.00214641306128717,0.613687320310576,-14.8513607650256
"W1-122",3164,4257,7309,4281,2211,7985,26150.5,0.222302383361557,0.477228299239344,-0.0475294611062174,0.559205564122203,-40.6115933723958
"W1-123",1945,3412,6360,3408,1436,6974,23443,0.287170328826449,0.592846740912903,-0.0190982210053172,0.626347344387397,-22.7530660932233
"W1-124",4953,5921,6598,5656,3083,7261,30021,0.182906839590422,0.27143551842329,-0.150343673431633,0.434516241600036,-106.985915450053
"W1-125",2628.5,3780,6416,3778,1846.5,7053,23213.5,0.238999692530106,0.499280472668914,-0.0377966650715145,0.573230972283449,-33.054620392077
"W1-126",3612,4750,6917,4677.5,2573,7634.5,26635,0.204501737947656,0.401112025589564,-0.0707201284364019,0.507400369440365,-55.8391114652157
"W1-127",3346.5,4615.5,6867.5,4551,2342,7624.5,25582.5,0.234045290700707,0.431940823148647,-0.0473611779712445,0.510297488917052,-41.4984939785689
"W1-128",2622.5,3675.5,6577.5,3734.5,1901.5,7364.5,22280,0.229501957907531,0.509932308238698,-0.00264527248530095,0.540283439972692,-16.2976044135237
"W1-129",4050,4942,7609,4858.5,2573.5,8322.5,32443.5,0.194844866646721,0.36080207565407,-0.140514383229671,0.529466525331246,-120.954529456947
"W1-130",2503,3959,7102,4059,1893,8007,25011,0.266689363899338,0.545617822237348,-0.0282050331263425,0.584139452242854,-29.1406588458954
"W1-131",2831,4363,6998,4288,2171,7757,25444.5,0.228353083737617,0.493291129775804,-0.0312059596379406,0.541003635429426,-32.6001501757096
"W1-132",4233.5,5358.5,7014,5330,2953,7849.5,27360.5,0.19089297149251,0.337694158786483,-0.0626734886882968,0.430508186118211,-49.1827153424037
"W1-133",3497,4716.5,6870,4705.5,2575,7736,25495,0.196392904309644,0.400168936673582,-0.0325162910922278,0.468040226062446,-31.6638708395922
"W1-134",4422,5708,6832,5675,3151,7661,28496,0.184548139799306,0.310957454884952,-0.105335523958476,0.440413200986917,-79.0463697072732
"W1-135",2682,3916,6428,3785,1945,6976,21440,0.219444962044186,0.497634103035778,0.0102093246519429,0.500120389548608,-7.67155964313306
"W1-136",1381,2689,6589,2801,1121,7311,20649,0.332931738310101,0.690215524689265,0.040413383362907,0.662806956690218,5.32846778938637
"W1-137",2321,3425,6919,3387,1718,7629,21138,0.225861180120793,0.565289524122738,0.0425394632660842,0.558319012720457,8.87740420395574
"W1-138",2590,4013,6691,3954,1902,7464,23147,0.251305124472265,0.519771389771989,-0.00489405968180356,0.542396786048245,-15.9924614614092
"W1-139",1641,2840.5,6306,2831,1324,7050.5,19035,0.269315072094086,0.623535834901069,0.0686012092779037,0.574801402111848,19.4087554116385
"W1-140",1442,2837,6747,2883,1178,7504,19770,0.299363071261737,0.68812172940369,0.0748509511292689,0.632128181751327,23.885677557086
"W1-141",1364.5,2982,6830,2977,1125,7516.5,20900.5,0.347769084149626,0.701126445802942,0.0618549643692254,0.668664741328265,16.7791870009048
"W1-142",4926,6318,7611,6069,3651,8227,27665,0.153201896880904,0.300930746406588,-0.0251981224338669,0.36002046557876,-28.0927612334724
"W1-143",3450,4910,7000,4935,2424,7847,24463,0.239907426299676,0.461113535865785,-0.00316633890341196,0.483856197920715,-14.9042459745586
"W1-144",3791,5477,7758,5438,2772,8548,27265,0.228245010316209,0.407639647661344,-0.00665217216680515,0.447187471807158,-17.4889848928908
"W1-145",6278,8277,7889.5,7630.5,4343.5,8559,31016.5,0.1800773882241,0.220308820834301,-0.0673665315400122,0.311898878578927,-57.570053199503
"W1-146",4109,5712,7545,5754,3092,8404,28066,0.198963608760115,0.36186284126719,-0.0322110895761864,0.418833319511503,-34.4908841877518
"W1-147",5408,7105.5,8334.5,6779,3767.5,9142.5,31059.5,0.186620258379252,0.275927790682132,-0.0437701795703815,0.369837498753765,-46.3373411409999
"W1-148",5606.5,7542,8283,7056,3974,8975.5,31014.5,0.173239182127839,0.276147659008802,-0.0505495557776621,0.348498887654042,-48.1493030695358
"W1-149",5982,7260,8333,6674,3976,8827,30603,0.153956501291538,0.270315970673792,-0.0395544115846359,0.344310985372964,-39.5752787385162
"W1-150",2534.5,3936,8933.5,3843.5,1848.5,9557.5,24968.5,0.24727770638997,0.596566114404262,0.102527106354724,0.559910687327419,48.8960082805615
"W1-151",4294,6082,7737.5,5868,3103,8657,30650,0.214004975284514,0.372421530548914,-0.0702612054249589,0.478583800694055,-62.9132565883545
"W1-152",3669.5,4970.5,7118,4801,2461.5,7822.5,26382,0.226029187923638,0.420071099044085,-0.0433590624478939,0.512442556706557,-39.3176473721199
"W1-153",5591,7790,8029,7228,3870,8904,41072,0.210625329350311,0.275182813944798,-0.208833776245533,0.476782099267699,-191.789698756023
"W1-154",4855.5,6509,8146,6313.5,3705.5,9110,39041,0.169778104010263,0.317885512753213,-0.156326529683941,0.475779614510371,-151.389290865542
"W1-155",2758,4389,7353,4314,2023,8138,26211,0.262686592093475,0.526399289793433,-0.0206378113099094,0.588751024395578,-29.0864345389593
"W1-156",2153,3864,7518,3882,1771,8406,25501,0.274645677930535,0.585750187412846,0.0104701111128564,0.617800154733105,-11.0471618402466
"W1-157",3277,5014,7522,4859,2459,8413,28079,0.230585044532815,0.469108493845023,-0.0371534482843065,0.536043893742804,-40.1796892954361
"W1-158",2078,3640,7793,3682,1705,8823,25976,0.259294461549187,0.61869168814675,0.0183388023252347,0.62544153687723,-7.0038676538683
"W1-159",1452,2842,7100,2893,1193,7998,21984,0.30231200015452,0.697238971478926,0.0420957410113257,0.67998747869817,5.52782268466731
"W1-160",2655,3800,7676,3845,2028,8620,25369,0.214589262241734,0.559725120815115,0.0102866954536573,0.569620507846394,-11.8319109398233
"W1-161",1698,3180,6638,3238,1369,7495,21830,0.300876053150019,0.641327318894465,0.0338076240477689,0.647257798073216,2.08465746515967
"W1-162",1291,2940,7299,3027,1100,8239,23320,0.363642368006083,0.725536446269586,0.0130698322656651,0.716060715100654,-10.7676432342386
"W1-163",1516,2923,6631.5,3008,1243,7452,21057,0.285934411688537,0.679417077887179,0.0569753838042611,0.645358036685728,15.4087905616084
"W1-164",2808,4417,7491,4316,2135,8294.5,27227.5,0.244365666121387,0.511160212076072,-0.0304203139439194,0.56115566039277,-36.728097046681
"W1-165",1699,3305,7242,3335,1394,8005,23528,0.304004852312812,0.649403347098444,0.0212363830513681,0.638144115397127,-3.67285595494065
"W1-166",1490,3321,7270,3297.5,1245,8022,23599,0.337129813991193,0.692683271694201,0.0191443436630944,0.688294802614139,-6.54205543837043
"W1-167",1582,3203,6787,3235,1279,7667,22922,0.31306561048335,0.668726993759358,-0.00866729744060171,0.660646314203726,-20.9917068548552
"W1-168",1452,2858.5,7636,2933,1210,8531.5,23308.5,0.293418109505963,0.708348708544908,0.0504418919426174,0.668995885789392,12.0502573060484
"W1-169",1726,3145,7096,3187,1401,7948,21496,0.279051160926122,0.655578522947533,0.0685333472293546,0.636083946925772,22.5245619258456
"W1-170",1722,3389,7531,3374,1388,8297,24025,0.308548938005745,0.66747316079315,0.0352714356305793,0.654746238403027,3.48605679331165
"W1-171",3427.5,5340,7990,5262.5,2621.5,8852.5,30685,0.237661800714658,0.465755713219217,-0.0619833433997085,0.545851053013553,-60.7171410860694
"W1-172",2197,3949,7307,3874,1680,8157,25936,0.288371147242055,0.601502748157874,-0.0282377881524573,0.627305475180943,-33.0241081231448
"W1-173",3590,5440.5,8053.5,5422.5,2705,8963.5,32234.5,0.22573463416526,0.422826194741527,-0.0891358497968159,0.533052275044407,-80.4821930685035
"W1-174",2897,4604,7423,4618,2177,8264,28413,0.249189766254771,0.468992886491717,-0.0770603551777362,0.57945054322762,-64.97998543705
"W1-175",3621.5,5148.5,7328,5039,2567,8118,28462,0.223129885831,0.43479652820093,-0.0724372931258367,0.537075122334326,-59.9914879429549
"W1-176",2290.5,3792.5,6802,3816,1897,7651.5,22920.5,0.236004121021016,0.530369517793943,0.00978109964530528,0.551178319875964,-9.17044487674522
"W1-177",2694,4345,6989,4308,2201,7831,24520,0.238923905383439,0.480022588467141,-0.0228958190216213,0.536996340704865,-26.0223736693242
"W1-178",2945,4340,7424,4354,2438,8387,24739,0.199779885261904,0.47060181284843,0.00880823866454323,0.505346527893675,-10.0740453581692
"W1-179",1754,3134,6860,3122,1357,7647,21688,0.290162660814336,0.647488225260704,0.0395389391169852,0.647210995259932,5.72111851858705
"W1-180",1840.5,3370.5,7282,3414.5,1476.5,8193,23240,0.301082637129808,0.648843455864405,0.0435953582842511,0.640407168756144,8.29828823885135
"W1-181",2673,4203,8076,4194,1963,9017,27195,0.261826523088686,0.56590424947947,0.0170904114863991,0.60127416607035,-6.55962336648127
"W1-182",4544,6438,7597,6235,3200,8432,33183,0.232253296121744,0.354861336039322,-0.0932637695580921,0.504374701854453,-84.2330038375693
"W1-183",5599,7180,7775,6843.5,3920,8731,33892,0.177250190279687,0.266882314678379,-0.122499693989216,0.406426078352075,-103.921372017009
"W1-184",3430,5420,7222,5326,2642,8187,28033,0.237251556236153,0.432932457015243,-0.0529805218727726,0.507465483949278,-47.3852965128393
"W1-185",1757.5,3586.5,7452.5,3557,1509,8273,24020.5,0.281196997542951,0.622648954667885,0.0302952990448663,0.616870617494648,1.22521623447504
"W1-186",1695,3348,7666,3403,1372,8531,24128,0.303715092694188,0.675953917230499,0.0469698043170661,0.658254047515742,11.5360626246957
"W1-187",2083,3986,8242,3954,1637,9210,27067,0.321635694623208,0.643037616286908,0.0246224729561033,0.646327895946479,-2.95685422513848
"W1-188",3635.5,5501,8329.5,5270.5,2528.5,9125.5,29653,0.254767563009509,0.492966326084999,-0.022434655596979,0.553776378374077,-31.3543858367006
"W1-189",2311,4059.5,8243.5,4028.5,1814,9205,26605,0.274177692319973,0.609507490988585,0.0369766073653198,0.609322037697816,6.02074741251459
"W1-190",2429,4119,8492,4072,1916,9469,26390,0.267137786882728,0.602394543419335,0.0524755845105241,0.585917724350949,15.7470390477967
"W1-191",2593,4469,8036.5,4356.5,1963.5,8906,26873.5,0.281574201043354,0.572356437655645,0.0215765317077525,0.584711821897122,-3.64166000448154
"W1-192",2742,4206,7187,4218,2028,7945,24613,0.265831316118744,0.515491202937437,-0.00270816691667828,0.534333743986533,-16.5259112231745
